name,course_id,disciplineId,type,under_development,syllabus_link,course_link
Proteomics: Principles and Techniques,102101007,102,Video,false,syllabus/syllabus.php?subjectId=102101007,
Systems Biology,102106035,102,Web,false,syllabus/syllabus.php?subjectId=102106035,
Thermodynamics,102106026,102,Video,false,,/courses/102106026/
Tissue Engineering,102106036,102,Web,false,syllabus/syllabus.php?subjectId=102106036,
Unit Operations,102106027,102,Web,false,syllabus/syllabus.php?subjectId=102106027,
Advanced Chemical Reaction Engineering (PG),103101001,103,Video,false,syllabus/syllabus.php?subjectId=103101001,
Advanced Chemical Reaction Engineering (PG),103101002,103,Web,false,syllabus/syllabus.php?subjectId=103101002,
Advanced Heat and Mass Transfer,103105052,103,Web,false,syllabus/syllabus.php?subjectId=103105052,
Advanced Mathematical Techniques in Chemical Engineering,103105106,103,Video,false,,/courses/103105106/
Advanced Process Control,103101003,103,Video,false,syllabus/syllabus.php?subjectId=103101003,
Advanced Process Control,103106067,103,Web,false,syllabus/syllabus.php?subjectId=103106067,
Advanced Thermodynamics,103104040,103,Web,false,syllabus/syllabus.php?subjectId=103104040,
Advanced Transport Phenomena,103106068,103,Web,false,,/courses/103106068
Advanced Transport Phenomena (PG),103106069,103,Video,false,syllabus/syllabus.php?subjectId=103106069,
Biochemical Engineering,103105054,103,Video,false,,/courses/103105054/
Catalyst Science and Technology,103102012,103,Video,false,syllabus/syllabus.php?subjectId=103102012,
Catalyst Science and Technology,103103026,103,Web,false,syllabus/syllabus.php?subjectId=103103026,
Chemical Engineering Design - I,103107079,103,Video,false,syllabus/syllabus.php?subjectId=103107079,
Chemical Engineering Design - I,103107080,103,Web,false,syllabus/syllabus.php?subjectId=103107080,
Chemical Engineering Design - II,103103027,103,Web,false,,/courses/103103027
Chemical Engineering Thermodynamics,103101004,103,Web,false,,/courses/103101004
Chemical Engineering Thermodynamics,103106070,103,Video,false,syllabus/syllabus.php?subjectId=103106070,
Chemical Plant Safety and Risk Assessment,103106071,103,Web,false,syllabus/syllabus.php?subjectId=103106071,
Chemical process industries,103106109,103,Web,false,syllabus/syllabus.php?subjectId=103106109,
Chemical Reaction Engineering,103108097,103,Video,false,,/courses/103108097/
Chemical Reaction Engineering I,103101005,103,Web,false,syllabus/syllabus.php?subjectId=103101005,
Chemical Reaction Engineering I,103101006,103,Video,false,syllabus/syllabus.php?subjectId=103101006,
Chemical Reaction Engineering II,103101007,103,Web,false,syllabus/syllabus.php?subjectId=103101007,
Chemical Reaction Engineering II,103101008,103,Video,false,syllabus/syllabus.php?subjectId=103101008,
Chemical Technology - I,103107081,103,Video,false,syllabus/syllabus.php?subjectId=103107081,
Chemical Technology - I,103107082,103,Web,false,syllabus/syllabus.php?subjectId=103107082,
Chemical Technology - II,,103,Web,false,,
Computational Fluid Dynamics,103106073,103,Video,false,,/courses/103106073/
Computational Techniques,103101009,103,Web,false,syllabus/syllabus.php?subjectId=103101009,
Computational Techniques,103106074,103,Video,false,,/courses/103106074/
Computer Applications in Chemical Engineering,103105055,103,Web,false,syllabus/syllabus.php?subjectId=103105055,
Environmental Engineering,,103,Video,true,,
Environmental Engineering,103107084,103,Web,false,syllabus/syllabus.php?subjectId=103107084,
Fertilizer Engineering,,103,Video,true,,
Fertilizer Engineering,,103,Web,false,,
Fluid Mechanics,103104043,103,Web,false,,/courses/103104043
Fluid Mechanics,103104044,103,Video,false,,/courses/103104044/
Fluidization Engineering,103102013,103,Web,false,syllabus/syllabus.php?subjectId=103102013,
Fluidization Engineering,103102014,103,Video,false,syllabus/syllabus.php?subjectId=103102014,
Food Engineering,103107088,103,Web,false,syllabus/syllabus.php?subjectId=103107088,
Food Engineering,103107089,103,Video,false,syllabus/syllabus.php?subjectId=103107089,
Fuel Cell Technology,103102015,103,Web,false,,/courses/103102015
Fuel Cell Technology,103103030,103,Web,false,syllabus/syllabus.php?subjectId=103103030,
Fundamentals of Transport Processes,103108098,103,Video,false,,/courses/103108098/
Fundamentals of Transport Processes - II,103108099,103,Video,false,,/courses/103108099/
Heat Transfer,103103031,103,Video,false,,/courses/103103031/
Heat Transfer,103103032,103,Web,false,,/courses/103103032
Heavy and Fine Chemicals (Chemical Process Technology),103106108,103,Web,false,,/courses/103106108
Instability & Patterning of Thin Polymer Films,103105065,103,Web,false,syllabus/syllabus.php?subjectId=103105065,
Instability and Patterning of Thin Polymer Films,103105066,103,Video,false,,/courses/103105066/
Interfacial Engineering,103102016,103,Video,false,syllabus/syllabus.php?subjectId=103102016,
Interfacial Engineering,103103033,103,Web,false,,/courses/103103033
Introduction to Colloid and Interface Science and Engineering,103104045,103,Web,false,,/courses/103104045
Introduction to Microelectronic Fabrication Processes,103106075,103,Web,false,,/courses/103106075
Mass Transfer II,103104046,103,Video,false,,/courses/103104046/
Mass Transfer Operations I,103103034,103,Video,false,syllabus/syllabus.php?subjectId=103103034,
Mass Transfer Operations I,103103035,103,Web,false,,/courses/103103035
Material and Energy Balances,103102017,103,Video,false,syllabus/syllabus.php?subjectId=103102017,
Material and Energy Balances,103106076,103,Web,false,syllabus/syllabus.php?subjectId=103106076,
Mechanical Operations,103107090,103,Video,false,syllabus/syllabus.php?subjectId=103107090,
Mechanical Operations,103107091,103,Web,false,syllabus/syllabus.php?subjectId=103107091,
Mechanics of Soft Materials,103104047,103,Web,false,,/courses/103104047
Membrane Science and Engineering,103102018,103,Video,false,syllabus/syllabus.php?subjectId=103102018,
Microscale Transport Processes,103105057,103,Video,false,,/courses/103105057/
Modern Instrumental Methods of Analysis,103108100,103,Video,false,,/courses/103108100/
Molecular Simulations in Chemical Engineering,103103036,103,Web,false,,/courses/103103036
Multicomponent Mass Transfer,103102020,103,Web,false,syllabus/syllabus.php?subjectId=103102020,
Multiphase Flow,103105058,103,Web,false,,/courses/103105058
Multiphase Flow,103105059,103,Video,false,,/courses/103105059/
Novel Separation Processes,103105060,103,Web,false,,/courses/103105060
Novel Separation Processes,103105061,103,Video,false,,/courses/103105061/
Nuclear Reactor Technology,103106101,103,Web,false,,/courses/103106101
Particle Characterization (PG),103106103,103,Video,false,,/courses/103106103/
Petroleum Refinery Engineering,103102021,103,Video,false,syllabus/syllabus.php?subjectId=103102021,
Petroleum Refinery Engineering,103102022,103,Web,false,syllabus/syllabus.php?subjectId=103102022,
Plantwide Control of Chemical Processes,103104049,103,Web,false,syllabus/syllabus.php?subjectId=103104049,
Plantwide Control of Chemical Processes,103104050,103,Video,false,,/courses/103104050/
Process Control and Instrumentation,103103037,103,Web,false,syllabus/syllabus.php?subjectId=103103037,
Process Control and Instrumentation,103105064,103,Video,false,,/courses/103105064/
Process Design and Economics,103103107,103,Web,false,syllabus/syllabus.php?subjectId=103103107,
Process Design Decisions and Project Economics,103103039,103,Video,false,,/courses/103103039/
Process Design of Heat Exchangers ,103106102,103,Video,false,syllabus/syllabus.php?subjectId=103106102,
Process Integration,103107093,103,Video,false,syllabus/syllabus.php?subjectId=103107093,
Process Integration,103107094,103,Web,false,,/courses/103107094
Process Modelling and Simulation,103107096,103,Web,false,,/courses/103107096
Process Optimization,103106077,103,Web,false,syllabus/syllabus.php?subjectId=103106077,
Process Plant Safety,103102023,103,Video,false,syllabus/syllabus.php?subjectId=103102023,
System (Process) Identification,103106078,103,Web,false,syllabus/syllabus.php?subjectId=103106078,
Thermodynamics of Polymeric Systems,103101010,103,Web,false,syllabus/syllabus.php?subjectId=103101010,
Thermodynamics of Polymeric Systems,103101011,103,Video,false,syllabus/syllabus.php?subjectId=103101011,
Transport Phenomena (UG),103102024,103,Web,false,syllabus/syllabus.php?subjectId=103102024,
Transport Phenomena (UG),103102025,103,Video,false,syllabus/syllabus.php?subjectId=103102025,
Advance Analytical Course,104104066,104,Video,false,,/courses/104104066/
Advanced rotational - Vibrational Spectroscopy,,104,Video,true,,
Bio-inorganic chemistry,,104,Video,true,,
Bio-organic chemistry,104103018,104,Web,false,,/courses/104103018
Bio-Organic Chemistry of Natural Enediyne Anticancer Antibiotics,104103068,104,Web,false,syllabus/syllabus.php?subjectId=104103068,
Bio-physical chemistry,,104,Video,true,,
Bio-physical chemistry,,104,Web,true,,
Biocatalysis in organic synthesis,104105032,104,Web,false,,/courses/104105032
BioChemistry I,102105034,104,Video,false,,video.php?subjectId=102105034
Bioinorganic Chemistry - Metalloproteins and their Synthetic Analogues,104108054,104,Video,false,syllabus/syllabus.php?subjectId=104108054,
Catalytic Asymmetric Synthesis,104103067,104,Web,false,,/courses/104103067
Chemical Bonding and Group Theory,104106044,104,Video,false,syllabus/syllabus.php?subjectId=104106044,
Chemical Thermodynamics,104101001,104,Web,false,syllabus/syllabus.php?subjectId=104101001,
Chemistry of Materials,104103019,104,Web,false,syllabus/syllabus.php?subjectId=104103019,
Chemistry of Materials,,104,Video,false,,
Co-ordination chemistry (chemistry of transition elements),104105033,104,Video,false,syllabus/syllabus.php?subjectId=104105033,
Co-ordination chemistry (chemistry of transition elements),104106063,104,Web,false,syllabus/syllabus.php?subjectId=104106063,
Computational Chemistry,104101002,104,Web,false,syllabus/syllabus.php?subjectId=104101002,
Electrochemistry,104106045,104,Web,false,syllabus/syllabus.php?subjectId=104106045,
Environmental chemistry,104103020,104,Web,false,syllabus/syllabus.php?subjectId=104103020,
Essentials in Immunolgy,104108055,104,Video,false,,/courses/104108055/
Eukaryotic Gene Expression - basics and benefits,104108056,104,Video,false,,/courses/104108056/
Experimental Organic Chemistry,104107053,104,Web,false,syllabus/syllabus.php?subjectId=104107053,
Experimental Physical Chemistry,104101003,104,Video,false,syllabus/syllabus.php?subjectId=104101003,
Experimental Physical Chemistry,104101004,104,Web,false,syllabus/syllabus.php?subjectId=104101004,
Fluorescence Spectroscopy,,104,Video,true,,
Heterocyclic Chemistry,104105034,104,Video,false,syllabus/syllabus.php?subjectId=104105034,
Inorganic chemistry (Main group elements),104106046,104,Video,false,syllabus/syllabus.php?subjectId=104106046,
Introduction to Organometallic Chemistry,104101006,104,Web,false,syllabus/syllabus.php?subjectId=104101006,
Introductory Inorganic Chemistry,104103069,104,Web,false,,/courses/104103069
Introductory Quantum Chemistry,104108057,104,Video,false,syllabus/syllabus.php?subjectId=104108057,
Mathematics for Chemistry,104104026,104,Video,false,syllabus/syllabus.php?subjectId=104104026,
Mathematics for Chemistry,104104027,104,Web,false,syllabus/syllabus.php?subjectId=104104027,
Mathematics for Chemists,,104,Video,true,,
Molecular spectroscopy I (Microwave  IR  UV  Visible and Photoelectron),104106047,104,Video,false,syllabus/syllabus.php?subjectId=104106047,
Organic photochemistry and pericyclic reactions,104105038,104,Video,false,,/courses/104105038/
Organic Reaction Mechanism,104101005,104,Web,false,syllabus/syllabus.php?subjectId=104101005,
Physical Chemistry II,104101007,104,Web,false,syllabus/syllabus.php?subjectId=104101007,
Physical Organic Chemistry,104106030,104,Web,false,syllabus/syllabus.php?subjectId=104106030,
Physical Organic Chemistry,104108059,104,Video,false,syllabus/syllabus.php?subjectId=104108059,
Polymer Chemistry,104105039,104,Video,false,syllabus/syllabus.php?subjectId=104105039,
Principles and Application of Electron Paramagnetic Resonance,,104,Video,true,,
Principles of Nuclear Magnetic Resonance Spectroscopy,104106049,104,Video,false,syllabus/syllabus.php?subjectId=104106049,
Principles of Organic Synthesis,104103022,104,Web,false,,/courses/104103022
Principles of Organic synthesis,104106050,104,Video,false,syllabus/syllabus.php?subjectId=104106050,
Principles of surface chemistry and catalysis,104106051,104,Web,false,syllabus/syllabus.php?subjectId=104106051,
Protein chemistry,104105040,104,Web,false,syllabus/syllabus.php?subjectId=104105040,
Proteomics,104108060,104,Video,false,syllabus/syllabus.php?subjectId=104108060,
Rate processes,104105041,104,Video,false,,/courses/104105041/
Reagents and Organic reactions,104103023,104,Web,false,,/courses/104103023
Selected Topics in Co-ordination Chemistry,104106064,104,Web,false,,/courses/104106064
Statistical Mechanics,104101008,104,Web,false,syllabus/syllabus.php?subjectId=104101008,
Stem Cells : Biology and Biotechnology,104108061,104,Video,false,syllabus/syllabus.php?subjectId=104108061,
Structure and Functions of Biomolecules,104102016,104,Web,false,,/courses/104102016
Structure and Reactivity in Organometallic Chemistry,104108062,104,Video,false,syllabus/syllabus.php?subjectId=104108062,
Advance Geotechnological Engineering,,105,Web,false,,
Advanced Foundation Engineering,105105039,105,Video,false,syllabus/syllabus.php?subjectId=105105039,
Advanced Foundation Engineering,105108069,105,Web,false,syllabus/syllabus.php?subjectId=105108069,
Advanced Geotechnical Engineering,105101001,105,Video,false,syllabus/syllabus.php?subjectId=105101001,
Advanced Hydraulics,105103021,105,Video,false,,/courses/105103021/
Advanced Hydraulics,105107059,105,Web,false,,/courses/105107059
Advanced Hydrology,105101002,105,Web,false,,/courses/105101002
Advanced Hydrology,105104029,105,Video,false,,/courses/105104029/
Advanced Solid Mechanics,105101003,105,Video,false,syllabus/syllabus.php?subjectId=105101003,
Advanced Solid Mechanics,105106049,105,Web,false,,/courses/105106049
Advanced Structural Analysis,105106050,105,Video,false,,/courses/105106050/
Advanced Structural Analysis,105107060,105,Web,false,syllabus/syllabus.php?subjectId=105107060,
Advanced Structural Design,105103022,105,Web,false,syllabus/syllabus.php?subjectId=105103022,
Advanced Transportation Engineering,105104098,105,Web,false,,/courses/105104098
Analytical Methods for Transportation Engineers,,105,Web,true,,
Application of Soil Mechanics,105104135,105,Video,false,syllabus/syllabus.php?subjectId=105104135,
Applied Elasticity for Engineers,105108070,105,Web,false,,/courses/105108070
Civil Engineering - Building materials and Construction,105102088,105,Video,false,,video.php?subjectId=105102088
Composite Materials,New_index1.html,105,Web,false,,courses/Webcourse-contents/IISc-BANG/Composite Materials/New_index1.html
Computational Hydraulics,computational-hydraulics.pdf,105,Web,false,,courses/Webcourse-contents/IISc-BANG/Comp_Hydr/computational-hydraulics.pdf
Concrete Technology,105102012,105,Video,false,syllabus/syllabus.php?subjectId=105102012,
Concrete Technology,105104030,105,Video,false,syllabus/syllabus.php?subjectId=105104030,
Construction & Contract management,105102013,105,Video,false,syllabus/syllabus.php?subjectId=105102013,
Construction Economics & Finance,105102014,105,Video,false,syllabus/syllabus.php?subjectId=105102014,
Construction Economics & Finance,105103023,105,Web,false,syllabus/syllabus.php?subjectId=105103023,
Construction Planning and Management,index.html,105,Web,false,,courses/Webcourse-contents/IIT- Guwahati/cpm/index.html
Contaminant Transport in Natural and Manmade Systems,105108071,105,Web,false,syllabus/syllabus.php?subjectId=105108071,
Continuum Damage Mechanics,105108072,105,Web,false,syllabus/syllabus.php?subjectId=105108072,
Design of Concrete Structures,New_index1.html,105,Web,false,,courses/Webcourse-contents/IIT Kharagpur/Design of Con Struc/New_index1.html
Design of Hydraulic Structures,105105040,105,Web,false,syllabus/syllabus.php?subjectId=105105040,
Design of Reinforced Concrete Structures,105105105,105,Video,false,,video.php?subjectId=105105105
Design of Steel Structures,105103094,105,Video,false,,video.php?subjectId=105103094
Design of Steel Structures I,index.php,105,Web,false,,courses/IIT-MADRAS/Design_Steel_Structures_I/index.php
Design of Steel Structures II,index.php,105,Web,false,,courses/IIT-MADRAS/Design_Steel_Structures_II/index.php
Elements of photogrammetry,105107061,105,Web,false,syllabus/syllabus.php?subjectId=105107061,
Engineering Geology,105105106,105,Video,false,,video.php?subjectId=105105106
Environmental Air Pollution,index.htm,105,Web,false,,courses/Webcourse-contents/IIT-Delhi/Environmental Air Pollution/index.htm
Environmental Air Pollution,105104099,105,Video,false,,video.php?subjectId=105104099
Environmental Management & Impact Assessment,105103024,105,Video,false,syllabus/syllabus.php?subjectId=105103024,
Environmental quality and pollution monitoring techniques,105104032,105,Video,false,syllabus/syllabus.php?subjectId=105104032,
Financing Infrastructure Projects,105103133,105,Web,false,syllabus/syllabus.php?subjectId=105103133,
Finite Element Analysis,105105041,105,Web,false,,/courses/105105041
Finite Element Analysis,105106051,105,Video,false,,/courses/105106051/
Fluid Mechanics,105101082,105,Video,false,,/courses/105101082/
Fluid Mechanics,index.htm,105,Web,false,,courses/Webcourse-contents/IIT- Guwahati/fluid_mechanics/index.htm
Foundation Analysis and Design,105104137,105,Web,false,syllabus/syllabus.php?subjectId=105104137,
Foundation Engineering,Course Objective.html'),105,Web,false,,javascript:fullScreen('http://www.cdeep.iitb.ac.in/nptel/Civil Engineering/Foundation_Engineering/Course Objective.html')
Foundation Engineering,105107120,105,Video,false,,video.php?subjectId=105107120
G.I.S in Civil Engineering,105102015,105,Web,false,syllabus/syllabus.php?subjectId=105102015,
Geo-environmental Engineering,105103025,105,Web,false,,/courses/105103025
Geo-informatics in Transportation Engineering,105108073,105,Web,false,,/courses/105108073
Geosynthetics and Reinforced Soil Structures,105106052,105,Video,false,,/courses/105106052/
Geotechnical Earthquake Engineering,105101134,105,Video,false,syllabus/syllabus.php?subjectId=105101134,
Geotechnical Earthquake Engineering,105104136,105,Web,false,syllabus/syllabus.php?subjectId=105104136,
Geotechnical Earthquake Engineering,105108074,105,Web,false,,/courses/105108074
Geotechnical Measuements & Explorations,105104131,105,Video,false,,/courses/105104131/
Global Positioning System,105107062,105,Web,false,syllabus/syllabus.php?subjectId=105107062,
Ground Improvement Techniques,105104034,105,Web,false,,/courses/105104034
Ground Improvement Techniques,105108075,105,Video,false,,/courses/105108075/
Ground Water Hydrology,105103026,105,Web,false,syllabus/syllabus.php?subjectId=105103026,
Ground Water Hydrology,105105042,105,Video,false,syllabus/syllabus.php?subjectId=105105042,
Hydraulics,105103096,105,Video,false,,video.php?subjectId=105103096
Hydraulics,index.php,105,Web,false,,courses/IIT-MADRAS/Hydraulics/index.php
Hydrological Measurements and Analysis of Data,105107129,105,Web,false,,/courses/105107129
Infrastructure Planning and Management,index.php,105,Web,false,,courses/IIT-MADRAS/Infrastructure_Planning_Management/index.php
Introduction to Earthquake Engineering,105101004,105,Web,false,,/courses/105101004
Introduction to Earthquake Engineering,105102016,105,Video,false,syllabus/syllabus.php?subjectId=105102016,
Introduction to Engineering Seismology,105108076,105,Web,false,,/courses/105108076
Introduction to Transportation Engineering,105105107,105,Video,false,,video.php?subjectId=105105107
Mechanics of Solids,index.htm,105,Web,false,,courses/Webcourse-contents/IIT-Delhi/Mechanics Of Solids/index.htm
Mechanics of solids,105106116,105,Video,false,,video.php?subjectId=105106116
Modern Construction Materials,105106053,105,Video,false,,/courses/105106053/
Modern Construction Materials,105107063,105,Web,false,syllabus/syllabus.php?subjectId=105107063,
Modern Surveying Techniques,About-Faculty.HTML,105,Web,false,,courses/Webcourse-contents/IIT-KANPUR/ModernSurveyingTech/ui/About-Faculty.HTML
Modern Surveying Techniques,105107121,105,Video,false,,video.php?subjectId=105107121
Numerical Methods in Civil Engineering,105105043,105,Video,false,,/courses/105105043/
Optimization Methods,New_index1.html,105,Web,false,,courses/Webcourse-contents/IISc-BANG/OPTIMIZATION METHODS/New_index1.html
Pavement Design,105105044,105,Video,false,syllabus/syllabus.php?subjectId=105105044,
Pavement Design,105107064,105,Web,false,syllabus/syllabus.php?subjectId=105107064,
Physico Chemical processes in aquatic environments,105104035,105,Video,false,syllabus/syllabus.php?subjectId=105104035,
Pre-stressed Concrete Structures,index.php,105,Web,false,,courses/IIT-MADRAS/PreStressed_Concrete_Structures/index.php
Pre-stressed Concrete Structures,105106118,105,Video,false,,video.php?subjectId=105106118
Probability Methods in Civil Engineering,105103027,105,Web,false,,/courses/105103027
Probability Methods in Civil Engineering,105105045,105,Video,false,,/courses/105105045/
Probability Methods in Civil Engineering,105105138,105,Web,false,syllabus/syllabus.php?subjectId=105105138,
Project Planning & Control,105106054,105,Video,false,syllabus/syllabus.php?subjectId=105106054,
Reliability Engineering,New_index1.html,105,Web,false,,courses/Webcourse-contents/IISc-BANG/Reliability Engg/New_index1.html
Remote Sensing,105107065,105,Web,false,syllabus/syllabus.php?subjectId=105107065,
Remote Sensing,105108077,105,Web,false,syllabus/syllabus.php?subjectId=105108077,
Rock Mechanics,105106055,105,Web,false,syllabus/syllabus.php?subjectId=105106055,
Site Characterisation & Instrumentation,105108078,105,Web,false,syllabus/syllabus.php?subjectId=105108078,
Site Characterization and instrumentation,105105046,105,Web,false,syllabus/syllabus.php?subjectId=105105046,
Soil Dynamics,105101005,105,Video,false,,/courses/105101005/
Soil Dynamics,105107066,105,Web,false,syllabus/syllabus.php?subjectId=105107066,
Soil Mechanics,105101084,105,Video,false,,/courses/105101084/
Soil Mechanics,index.htm,105,Web,false,,courses/Webcourse-contents/IIT- Guwahati/soil_mech/index.htm
Solid & Hazardous Waste Management,105102018,105,Video,false,syllabus/syllabus.php?subjectId=105102018,
Solid & Hazardous Waste Management,105106056,105,Web,false,syllabus/syllabus.php?subjectId=105106056,
Stochastic Hydrology,105108079,105,Video,false,,/courses/105108079/
Stochastic Structural Dynamics,105108080,105,Video,false,,/courses/105108080/
Strength of Materials,105105108,105,Video,false,,video.php?subjectId=105105108
Structural Analysis I,Course%20Objective.html'),105,Web,false,,javascript:fullScreen('http://www.cdeep.iitb.ac.in/nptel/Civil%20Engineering/Structural%20Mechanic%20II/Course%20Objective.html')
Structural Analysis II,105101086,105,Video,false,,/courses/105101086/
Structural Analysis II,New_index1.html,105,Web,false,,courses/Webcourse-contents/IIT Kharagpur/Structural Analysis/New_index1.html
Structural Dynamics,105101006,105,Video,false,,/courses/105101006/
Structural Dynamics,105106057,105,Web,false,syllabus/syllabus.php?subjectId=105106057,
Structural Reliability,105101007,105,Video,false,syllabus/syllabus.php?subjectId=105101007,
Surveying,105104101,105,Video,false,,video.php?subjectId=105104101
Surveying,home.htm,105,Web,false,,courses/Webcourse-contents/IIT-ROORKEE/SURVEYING/home.htm
Traffic Engineering & Management,105101008,105,Web,false,,/courses/105101008
Traffic Engineering & Management,105102019,105,Video,false,syllabus/syllabus.php?subjectId=105102019,
Transportation Economics,105103028,105,Web,false,syllabus/syllabus.php?subjectId=105103028,
Transportation Economics,105105047,105,Video,false,syllabus/syllabus.php?subjectId=105105047,
Transportation Engineering I,CourseObjective.html'),105,Web,false,,javascript:fullScreen('http://www.cdeep.iitb.ac.in/nptel/Civil%20Engineering/Transportation%20Engg%20I/CourseObjective.html')
Transportation Engineering II,105107123,105,Video,false,,video.php?subjectId=105107123
Transportation Network Modeling,105101009,105,Video,false,syllabus/syllabus.php?subjectId=105101009,
